Az,hs,FF,Ta,G_Bn,G_Dh,G_Gh
-6.3,49.7,2.6,29.3,782,172,769
14.6,48.7,3.5,30.4,786,166,756
33.1,42.8,4.9,31.0,841,118,690
46.5,33.7,4.2,31.0,826,87,545
56.3,22.5,3.7,30.1,752,63,352
63.3,10.2,2.0,28.5,540,43,139
68.5,0.0,1.6,26.6,0,1,1
72.6,0.0,0.8,25.7,0,0,0
76.2,0.0,0.9,24.8,0,0,0
78.6,0.0,1.6,23.9,0,0,0
80.5,0.0,2.0,23.2,0,0,0
81.0,0.0,1.6,22.0,0,0,0
-68.5,0.0,1.2,21.1,0,0,0
-78.6,0.0,0.6,20.2,0,0,0
-81.5,0.0,1.2,19.3,0,0,0
-80.3,0.0,0.3,18.9,0,0,0
-78.1,0.0,0.2,18.4,0,0,0
-75.2,0.0,0.7,18.1,0,0,0
-71.4,0.0,0.3,17.8,0,0,0
-67.0,2.5,0.9,18.1,0,11,11
-61.1,15.3,1.0,21.0,281,99,173
-53.1,27.2,0.8,23.9,340,183,338
-42.1,37.7,2.8,25.6,335,262,467
-26.4,45.8,4.5,27.4,367,321,584
-6.4,49.9,4.2,29.1,563,265,696
14.5,48.9,3.3,30.3,559,266,687
33.2,43.0,3.8,31.0,652,192,637
46.5,33.9,5.5,31.1,597,163,495
56.3,22.7,3.7,30.4,405,135,291
63.4,10.4,3.7,28.9,160,71,100
68.6,0.0,2.8,27.3,0,1,1
73.1,0.0,3.3,26.5,0,0,0
76.3,0.0,2.6,25.7,0,0,0
79.1,0.0,2.6,24.8,0,0,0
81.1,0.0,3.0,24.0,0,0,0
81.4,0.0,2.4,23.4,0,0,0
-71.3,0.0,3.0,22.5,0,0,0
-80.0,0.0,1.2,21.5,0,0,0
-82.2,0.0,1.0,20.5,0,0,0
-80.5,0.0,1.0,20.0,0,0,0
-78.3,0.0,1.2,19.5,0,0,0
-75.3,0.0,0.9,19.2,0,0,0
-71.5,0.0,1.6,18.8,0,0,0
-67.2,2.5,1.5,19.2,0,11,11
-61.2,15.3,1.8,22.3,420,79,190
-53.3,27.2,2.8,25.0,514,149,384
-42.2,37.8,3.0,27.4,617,173,551
-26.6,45.9,4.5,29.6,675,207,691
-6.5,50.1,4.5,31.4,727,200,758
14.5,49.1,3.3,32.5,662,229,730
33.2,43.2,3.3,33.2,603,210,623
47.0,34.0,2.8,33.2,587,170,498
56.4,22.9,2.6,32.0,530,110,316
63.5,10.6,3.5,30.6,404,52,126
69.1,0.0,2.8,28.8,0,1,1
73.2,0.0,3.3,27.9,0,0,0
76.4,0.0,2.2,27.0,0,0,0
79.3,0.0,1.6,26.1,0,0,0
81.3,0.0,2.4,25.1,0,0,0
82.2,0.0,1.8,24.2,0,0,0
-74.1,0.0,1.2,23.6,0,0,0
-81.1,0.0,1.2,22.6,0,0,0
-82.5,0.0,1.2,21.5,0,0,0
-81.1,0.0,0.8,20.9,0,0,0
-78.5,0.0,0.4,20.3,0,0,0
-75.4,0.0,0.6,19.9,0,0,0
-72.0,0.0,0.4,19.5,0,0,0
-67.3,2.5,0.9,19.8,0,11,11
-61.3,15.3,2.0,22.7,336,94,183
-53.4,27.3,1.5,25.0,399,173,356
-42.4,37.9,2.0,27.1,430,243,508
-27.1,46.1,2.0,28.9,485,274,624
-6.6,50.3,2.6,30.1,354,348,621
14.5,49.3,4.0,30.8,228,391,564
33.3,43.5,4.0,31.3,416,290,576
47.1,34.2,4.5,31.4,515,193,483
56.5,23.0,5.2,30.6,296,161,277
63.6,10.7,3.8,29.2,100,78,96
69.2,0.0,1.8,27.7,0,1,1
73.3,0.0,0.9,26.8,0,0,0
76.6,0.0,0.9,26.0,0,0,0
79.4,0.0,0.7,25.1,0,0,0
81.6,0.0,0.4,24.3,0,0,0
82.6,0.0,0.3,23.7,0,0,0
-77.0,0.0,0.6,22.9,0,0,0
-82.3,0.0,1.2,22.0,0,0,0
-83.2,0.0,2.0,21.2,0,0,0
-81.3,0.0,2.6,20.8,0,0,0
-79.0,0.0,2.4,20.3,0,0,0
-75.6,0.0,2.0,20.0,0,0,0
-72.2,0.0,1.8,19.7,0,0,0
-67.4,2.5,2.2,20.1,0,10,10
-61.5,15.4,3.3,23.1,331,90,177
-53.5,27.4,3.7,25.4,453,156,365
-42.5,38.0,3.3,27.8,538,204,535
-27.3,46.2,4.5,29.9,570,246,657
-7.1,50.5,7.7,31.5,599,242,704
14.5,49.5,5.5,32.5,486,298,668
33.3,43.7,4.5,33.2,465,272,593
47.2,34.4,3.5,33.1,425,215,455
57.0,23.2,3.8,31.9,347,145,282
64.1,10.9,2.8,30.6,132,80,105
69.3,0.0,2.4,29.0,0,1,1
73.4,0.0,2.2,28.1,0,0,0
77.1,0.0,2.4,27.1,0,0,0
80.0,0.0,1.6,26.2,0,0,0
82.2,0.0,2.4,25.2,0,0,0
83.4,0.0,2.0,24.3,0,0,0
-79.5,0.0,2.4,23.7,0,0,0
-83.4,0.0,1.2,22.6,0,0,0
-83.6,0.0,3.0,21.4,0,0,0
-81.6,0.0,1.6,20.8,0,0,0
-79.2,0.0,1.0,20.2,0,0,0
-76.1,0.0,0.9,19.8,0,0,0
-72.3,0.0,0.1,19.4,0,0,0
-67.6,2.5,0.3,19.7,0,10,10
-62.0,15.4,0.2,23.2,535,65,207
-54.1,27.4,0.5,25.9,703,96,420
-43.1,38.1,0.8,28.5,783,124,607
-27.4,46.4,0.7,30.9,850,127,743
-7.2,50.7,1.0,32.7,874,132,809
14.5,49.8,1.2,34.5,881,126,798
33.4,43.9,1.5,35.4,884,105,717
47.2,34.6,3.0,35.4,818,98,563
57.1,23.4,3.0,34.2,709,76,357
64.2,11.0,4.2,31.9,481,50,142
69.4,0.0,4.9,30.2,0,1,1
73.5,0.0,2.6,29.0,0,0,0
77.2,0.0,2.2,27.7,0,0,0
80.2,0.0,1.0,26.5,0,0,0
82.4,0.0,1.2,25.3,0,0,0
84.2,0.0,1.0,24.1,0,0,0
-82.4,0.0,1.3,23.2,0,0,0
-85.1,0.0,0.5,21.7,0,0,0
-84.3,0.0,0.3,20.3,0,0,0
-82.2,0.0,0.8,19.5,0,0,0
