Az,hs,FF,Ta,G_Bn,G_Dh,G_Gh
84.5,0.0,5.7,0.4,0,0,0
96.5,0.0,5.2,0.6,0,0,0
110.3,0.0,5.2,0.8,0,0,0
127.0,0.0,5.0,0.9,0,0,0
148.1,0.0,4.0,1.2,0,0,0
174.1,0.0,4.3,1.4,0,0,0
-158.5,0.0,4.0,1.6,0,0,0
-135.3,0.0,5.4,1.9,0,0,0
-117.1,0.0,4.3,2.2,0,0,0
-102.3,0.0,3.6,2.3,0,0,0
-89.6,0.0,4.0,2.5,0,0,0
-78.3,0.0,4.6,2.6,0,0,0
-67.2,0.0,4.0,2.7,0,0,0
-55.5,0.0,3.6,2.8,0,0,0
-43.5,4.6,3.8,3.2,0,6,6
-31.0,10.2,5.4,3.4,0,17,17
-17.2,14.0,6.6,4.1,0,26,26
-3.1,15.6,6.1,4.5,0,29,29
11.2,15.0,6.8,4.7,0,27,27
25.2,12.1,7.6,4.8,0,21,21
38.3,7.2,8.8,4.7,0,11,11
50.5,0.8,8.8,4.5,0,1,1
62.3,0.0,8.0,4.4,0,0,0
73.4,0.0,11.6,4.3,0,0,0
84.6,0.0,10.8,4.3,0,0,0
96.5,0.0,9.6,4.3,0,0,0
110.3,0.0,7.6,4.2,0,0,0
127.0,0.0,5.9,4.2,0,0,0
148.1,0.0,5.9,4.1,0,0,0
174.0,0.0,6.4,4.1,0,0,0
-159.0,0.0,6.1,3.6,0,0,0
-135.4,0.0,5.9,3.4,0,0,0
-117.2,0.0,6.4,3.1,0,0,0
-102.4,0.0,5.7,2.9,0,0,0
-90.1,0.0,6.1,2.8,0,0,0
-78.4,0.0,6.8,2.6,0,0,0
-67.3,0.0,6.6,2.5,0,0,0
-56.0,0.0,6.3,2.5,0,0,0
-44.0,4.7,7.6,2.6,0,8,8
-31.1,10.3,7.6,2.8,0,19,19
-17.3,14.1,7.0,2.9,0,32,32
-3.1,15.8,6.3,3.1,0,36,36
11.1,15.1,6.4,3.2,0,36,36
25.1,12.2,4.3,3.2,0,28,28
38.3,7.4,7.1,3.1,0,14,14
50.5,1.0,7.6,2.9,0,2,2
62.3,0.0,8.0,2.7,0,0,0
73.4,0.0,9.6,2.6,0,0,0
84.6,0.0,8.8,2.4,0,0,0
96.6,0.0,8.0,2.2,0,0,0
110.3,0.0,7.3,2.0,0,0,0
127.0,0.0,7.3,1.8,0,0,0
148.0,0.0,7.1,1.6,0,0,0
173.5,0.0,8.0,1.5,0,0,0
-159.2,0.0,9.9,0.7,0,0,0
-135.6,0.0,9.1,-0.2,0,0,0
-117.4,0.0,7.3,-1.0,0,0,0
-102.5,0.0,6.3,-1.5,0,0,0
-90.2,0.0,6.1,-2.0,0,0,0
-78.5,0.0,6.1,-2.3,0,0,0
-67.4,0.0,6.6,-2.7,0,0,0
-56.1,0.0,5.0,-2.7,0,0,0
-44.1,4.8,4.3,-1.2,222,41,60
-31.2,10.4,4.3,0.3,347,56,119
-17.4,14.2,3.8,1.9,477,65,183
-3.2,15.9,2.9,2.9,382,88,193
11.1,15.3,3.8,3.5,355,92,185
25.1,12.4,4.0,4.0,555,71,190
38.3,7.6,3.6,3.6,559,33,107
50.5,1.1,3.0,2.3,0,9,9
62.3,0.0,3.8,2.0,0,0,0
73.4,0.0,4.8,1.7,0,0,0
85.0,0.0,5.4,1.4,0,0,0
96.6,0.0,3.4,1.1,0,0,0
110.3,0.0,3.6,0.9,0,0,0
127.0,0.0,2.9,0.6,0,0,0
148.0,0.0,2.2,0.3,0,0,0
173.5,0.0,1.4,0.0,0,0,0
-159.3,0.0,1.8,0.1,0,0,0
-136.1,0.0,2.0,0.2,0,0,0
-117.5,0.0,2.6,0.4,0,0,0
-103.1,0.0,4.0,0.5,0,0,0
-90.3,0.0,3.4,0.6,0,0,0
-79.0,0.0,4.3,0.7,0,0,0
-67.5,0.0,5.0,0.8,0,0,0
-56.2,0.0,4.6,0.9,0,0,0
-44.2,4.9,4.0,2.6,275,30,54
-31.3,10.6,4.6,5.3,463,65,150
-17.4,14.4,4.8,7.5,462,85,200
-3.2,16.1,3.6,8.5,225,109,171
11.0,15.5,3.4,9.5,451,82,203
