Az,hs,FF,Ta,G_Bn,G_Dh,G_Gh
42.0,44.8,6.2,32.9,54,255,293
53.4,34.0,5.2,33.0,134,273,348
61.3,21.7,6.2,32.6,173,164,228
66.5,8.5,4.8,31.9,228,60,94
70.3,0.0,4.0,31.1,0,0,0
73.1,0.0,3.1,30.5,0,0,0
74.4,0.0,2.4,29.8,0,0,0
75.1,0.0,2.0,29.2,0,0,0
73.1,0.0,2.4,28.6,0,0,0
63.3,0.0,2.0,27.9,0,0,0
-2.4,0.0,2.4,27.2,0,0,0
-65.1,0.0,2.0,26.5,0,0,0
-73.5,0.0,3.5,25.7,0,0,0
-75.3,0.0,3.1,25.3,0,0,0
-74.6,0.0,1.8,25.0,0,0,0
-73.1,0.0,1.5,24.7,0,0,0
-70.3,0.0,1.2,24.7,0,0,0
-66.5,9.2,1.3,25.7,351,53,109
-61.2,22.3,1.5,27.4,618,91,326
-53.3,34.7,2.0,29.3,762,114,548
-41.4,45.5,2.8,31.0,776,156,709
-23.3,53.4,3.1,32.5,788,184,817
0.3,56.4,3.1,33.6,795,193,854
24.3,53.2,3.5,34.6,759,198,806
42.1,45.1,3.5,35.0,727,180,695
53.5,34.2,4.0,34.8,616,166,512
61.4,21.8,4.0,33.9,474,113,289
66.6,8.7,4.0,32.8,240,56,92
70.4,0.0,3.5,31.5,0,0,0
73.2,0.0,2.4,30.7,0,0,0
74.6,0.0,1.8,29.8,0,0,0
75.3,0.0,1.3,28.9,0,0,0
73.4,0.0,1.3,28.0,0,0,0
64.2,0.0,1.3,27.2,0,0,0
-2.1,0.0,1.3,26.4,0,0,0
-65.5,0.0,1.2,25.6,0,0,0
-74.1,0.0,1.3,24.9,0,0,0
-75.5,0.0,1.5,24.4,0,0,0
-75.1,0.0,0.7,24.0,0,0,0
-73.3,0.0,0.7,23.7,0,0,0
-70.5,0.0,0.7,23.7,0,0,0
-66.6,9.2,0.7,24.7,353,51,108
-61.4,22.4,1.0,26.3,543,104,311
-53.5,34.7,1.3,28.2,661,146,523
-41.5,45.6,2.0,29.9,723,179,695
-23.5,53.6,2.0,31.4,689,235,790
0.2,56.6,2.4,32.5,703,242,830
24.3,53.4,2.8,33.1,749,204,805
42.2,45.3,2.8,33.6,764,160,703
54.0,34.3,2.4,33.6,699,133,527
61.5,22.0,2.4,33.0,599,91,315
67.1,8.8,1.5,31.9,386,45,104
70.5,0.0,1.0,30.6,0,0,0
73.3,0.0,0.6,29.7,0,0,0
75.1,0.0,0.4,28.7,0,0,0
75.5,0.0,0.2,27.8,0,0,0
74.1,0.0,0.2,26.8,0,0,0
65.1,0.0,0.2,25.9,0,0,0
-1.4,0.0,0.1,25.0,0,0,0
-66.3,0.0,0.1,24.2,0,0,0
-74.4,0.0,0.3,23.3,0,0,0
-76.1,0.0,0.2,22.8,0,0,0
-75.3,0.0,0.0,22.3,0,0,0
-73.4,0.0,0.0,22.0,0,0,0
-71.0,0.0,0.0,22.0,0,0,0
-67.1,9.2,0.1,23.0,430,45,114
-61.5,22.4,0.2,24.8,615,92,326
-54.0,34.8,0.3,26.5,702,131,532
-42.1,45.7,0.4,28.2,711,185,694
-24.1,53.8,0.5,29.6,735,213,806
0.2,56.8,0.6,30.8,765,210,851
24.4,53.6,0.7,31.5,697,237,797
42.3,45.5,0.7,31.8,670,200,678
54.2,34.5,0.9,31.7,670,140,519
62.0,22.1,0.9,31.0,549,107,314
67.2,8.9,0.7,29.9,372,47,104
71.1,0.0,0.4,28.6,0,0,0
73.5,0.0,0.3,27.9,0,0,0
75.3,0.0,0.2,27.2,0,0,0
76.1,0.0,0.1,26.5,0,0,0
74.4,0.0,0.1,25.9,0,0,0
66.1,0.0,0.1,25.2,0,0,0
-1.0,0.0,0.1,24.7,0,0,0
-67.2,0.0,0.0,24.3,0,0,0
-75.1,0.0,0.3,23.8,0,0,0
-76.3,0.0,0.2,23.5,0,0,0
-75.5,0.0,0.0,23.3,0,0,0
-73.6,0.0,0.0,23.1,0,0,0
-71.2,0.0,0.0,23.1,0,0,0
-67.3,9.3,0.1,24.1,258,59,101
-62.1,22.5,0.1,25.7,483,120,304
-54.2,34.9,0.3,27.7,764,144,581
-42.3,45.8,0.3,29.3,538,266,652
-24.2,53.9,0.5,30.4,440,339,694
0.1,57.1,0.5,31.1,319,403,670
24.4,53.9,0.6,31.6,310,377,627
42.4,45.7,0.6,31.8,281,341,542
54.3,34.7,0.6,31.3,106,275,335
62.1,22.3,0.7,30.5,12,144,149
67.3,9.1,0.6,29.5,5,56,57
71.2,0.0,0.4,28.5,0,0,0
74.0,0.0,0.2,28.0,0,0,0
75.5,0.0,0.1,27.5,0,0,0
76.3,0.0,0.0,27.0,0,0,0
75.1,0.0,0.0,26.5,0,0,0
67.0,0.0,0.0,26.1,0,0,0
-0.3,0.0,0.0,25.6,0,0,0
-68.1,0.0,0.0,25.2,0,0,0
-75.4,0.0,0.2,24.7,0,0,0
-76.5,0.0,0.2,24.5,0,0,0
-76.0,0.0,0.0,24.3,0,0,0
-74.2,0.0,0.0,24.1,0,0,0
-71.3,0.0,0.0,24.1,0,0,0
-67.4,9.3,0.0,25.1,275,59,103
-62.2,22.5,0.0,26.8,542,105,312
-54.4,35.0,0.2,28.7,659,143,520
-42.5,46.0,0.3,30.7,733,192,719
-24.4,54.1,0.5,32.2,656,259,790
0.0,57.3,0.7,33.1,562,309,782
24.5,54.1,0.7,33.9,543,295,735
42.5,45.9,0.9,34.2,482,278,624
54.4,34.9,0.9,34.1,460,217,480
62.3,22.4,0.9,33.3,414,131,289
