Az,hs,FF,Ta,G_Bn,G_Dh,G_Gh
117.3,0.0,5.5,6.2,0,0,0
137.2,0.0,4.8,5.8,0,0,0
164.1,0.0,5.0,5.3,0,0,0
-164.4,0.0,4.8,4.7,0,0,0
-137.4,0.0,6.0,4.1,0,0,0
-117.5,0.0,5.0,3.5,0,0,0
-103.1,0.0,4.0,3.2,0,0,0
-90.6,0.0,4.5,2.9,0,0,0
-80.1,0.0,5.3,2.7,0,0,0
-69.4,0.0,4.8,2.5,0,0,0
-59.1,0.0,4.3,2.4,0,0,0
-47.4,5.5,4.5,2.7,0,19,19
-35.2,12.1,6.0,3.2,0,45,45
-21.5,16.9,7.2,3.4,0,47,47
-7.3,19.5,6.5,3.4,0,29,29
7.1,19.5,7.4,3.7,0,79,79
21.4,17.0,8.2,5.1,516,140,291
35.1,12.3,9.3,5.6,661,40,181
47.3,5.6,9.6,5.4,422,30,72
58.5,0.0,8.5,4.9,0,0,0
69.3,0.0,12.2,4.5,0,0,0
79.6,0.0,11.1,4.2,0,0,0
90.5,0.0,10.4,3.8,0,0,0
102.5,0.0,8.5,3.4,0,0,0
117.3,0.0,6.7,3.1,0,0,0
137.1,0.0,6.7,2.7,0,0,0
164.1,0.0,7.2,2.4,0,0,0
-164.6,0.0,6.9,2.1,0,0,0
-137.6,0.0,6.7,1.9,0,0,0
-118.1,0.0,7.2,1.7,0,0,0
-103.2,0.0,6.7,1.6,0,0,0
-91.1,0.0,6.9,1.4,0,0,0
-80.2,0.0,7.6,1.4,0,0,0
-69.6,0.0,7.4,1.3,0,0,0
-59.2,0.0,7.1,1.3,0,0,0
-47.5,5.6,8.9,1.4,0,6,6
-35.3,12.2,8.5,1.6,0,15,15
-22.0,17.1,8.0,2.3,0,69,69
-7.4,19.6,7.1,3.5,36,141,153
7.1,19.7,7.2,4.4,55,146,165
21.3,17.2,5.5,4.8,17,114,119
35.1,12.4,8.2,5.0,111,87,111
47.3,5.8,8.9,4.8,156,40,56
58.5,0.0,8.9,4.2,0,1,1
69.3,0.0,10.9,4.0,0,0,0
80.0,0.0,10.0,3.8,0,0,0
90.5,0.0,8.9,3.6,0,0,0
102.5,0.0,8.5,3.4,0,0,0
117.4,0.0,8.5,3.0,0,0,0
137.1,0.0,8.2,2.9,0,0,0
163.6,0.0,9.1,2.7,0,0,0
-165.1,0.0,11.1,2.5,0,0,0
-138.2,0.0,10.4,2.2,0,0,0
-118.2,0.0,8.5,2.1,0,0,0
-103.3,0.0,7.4,2.0,0,0,0
-91.2,0.0,7.2,1.9,0,0,0
-80.3,0.0,7.1,1.8,0,0,0
-70.1,0.0,7.6,1.8,0,0,0
-59.3,0.0,6.0,1.8,0,0,0
-48.0,5.7,5.5,2.1,0,15,15
-35.4,12.3,5.5,2.4,0,34,34
-22.1,17.2,5.0,2.9,0,63,63
-7.4,19.8,3.8,3.3,0,79,79
7.0,19.8,5.0,3.6,0,82,82
21.3,17.4,5.3,3.7,0,59,59
35.1,12.6,4.8,3.6,0,38,38
47.3,6.0,4.0,3.4,0,17,17
58.5,0.0,4.8,3.1,0,0,0
69.4,0.0,5.7,2.8,0,0,0
80.0,0.0,6.3,2.6,0,0,0
90.5,0.0,4.3,2.0,0,0,0
102.6,0.0,4.5,2.0,0,0,0
117.4,0.0,3.7,1.8,0,0,0
137.1,0.0,2.9,1.6,0,0,0
163.5,0.0,2.0,1.3,0,0,0
-165.3,0.0,2.3,0.9,0,0,0
-138.3,0.0,2.7,0.4,0,0,0
-118.4,0.0,3.2,-0.1,0,0,0
-103.5,0.0,4.8,-0.3,0,0,0
-91.4,0.0,4.0,-0.5,0,0,0
-80.4,0.0,5.0,-0.7,0,0,0
-70.2,0.0,5.7,-0.9,0,0,0
-59.4,0.0,5.3,-0.9,0,0,0
-48.1,5.7,5.0,-0.2,6,35,35
-35.5,12.4,5.3,0.9,46,90,100
-22.2,17.3,5.5,1.9,59,133,150
-7.5,19.9,4.3,2.7,55,148,167
6.6,20.0,4.3,3.0,12,130,134
21.3,17.5,4.0,3.3,100,128,158
35.0,12.8,3.5,3.0,0,70,70
47.3,6.2,3.2,2.6,107,48,60
58.6,0.0,3.3,2.0,0,0,0
69.4,0.0,4.0,1.6,0,0,0
80.1,0.0,5.9,1.2,0,0,0
90.6,0.0,5.3,0.8,0,0,0
103.0,0.0,4.3,0.5,0,0,0
117.4,0.0,4.0,0.2,0,0,0
137.1,0.0,5.7,-0.2,0,0,0
163.4,0.0,4.3,-0.6,0,0,0
-165.4,0.0,4.3,-0.9,0,0,0
-138.5,0.0,3.8,-1.2,0,0,0
-118.6,0.0,2.5,-1.3,0,0,0
-104.0,0.0,2.3,-1.4,0,0,0
-91.5,0.0,2.2,-1.5,0,0,0
-80.6,0.0,2.1,-1.6,0,0,0
-70.3,0.0,1.6,-1.6,0,0,0
-59.5,0.0,1.8,-1.6,0,0,0
-48.2,5.8,2.2,-1.0,0,29,29
-35.6,12.6,2.2,-0.2,0,70,70
-22.3,17.5,1.9,0.8,31,122,131
-7.6,20.1,1.7,2.0,156,151,205
6.5,20.2,1.0,2.9,161,165,220
21.3,17.7,0.4,3.4,234,129,201
35.0,13.0,1.0,2.6,0,16,16
47.3,6.4,1.4,1.9,0,7,7
58.6,0.0,1.5,1.3,0,0,0
69.4,0.0,1.8,0.9,0,0,0
80.1,0.0,1.8,0.5,0,0,0
91.0,0.0,2.2,0.2,0,0,0
103.0,0.0,2.8,-0.2,0,0,0
117.5,0.0,2.5,-0.6,0,0,0
137.1,0.0,2.7,-1.0,0,0,0
163.4,0.0,2.5,-1.4,0,0,0
-165.6,0.0,2.7,-2.3,0,0,0
-139.1,0.0,3.0,-3.1,0,0,0
-119.1,0.0,3.3,-4.0,0,0,0
-104.2,0.0,4.3,-4.5,0,0,0
-92.0,0.0,4.8,-5.0,0,0,0
-81.1,0.0,5.3,-5.3,0,0,0
-70.4,0.0,5.5,-5.6,0,0,0
-59.6,0.0,6.0,-5.7,0,0,0
-48.3,5.9,5.0,-4.9,54,37,43
