Az,hs,FF,Ta,G_Bn,G_Dh,G_Gh
-25.4,53.6,0.4,27.2,135,401,510
-1.5,57.2,0.3,27.7,109,418,509
22.3,54.5,0.3,28.0,132,406,514
40.4,46.7,0.3,28.2,118,381,467
52.3,35.9,0.3,28.2,124,282,354
59.6,23.6,0.3,27.8,32,181,193
64.5,10.5,0.4,27.3,8,68,70
67.6,0.0,0.4,26.7,0,1,1
69.5,0.0,0.4,26.2,0,0,0
70.2,0.0,0.4,25.8,0,0,0
69.1,0.0,0.4,25.4,0,0,0
64.5,0.0,0.4,25.0,0,0,0
51.0,0.0,0.4,24.5,0,0,0
-5.3,0.0,0.1,24.2,0,0,0
-47.3,0.0,0.2,23.9,0,0,0
-63.5,0.0,0.4,23.6,0,0,0
-69.0,0.0,0.3,23.7,0,0,0
-70.3,0.0,0.0,23.6,0,0,0
-70.1,0.0,0.1,23.4,0,0,0
-68.3,0.0,0.0,23.4,0,0,0
-65.3,8.5,0.1,23.7,0,50,50
-60.6,21.7,0.2,24.5,82,161,192
-53.6,34.2,0.5,25.8,189,277,383
-43.0,45.3,1.1,26.4,52,335,372
-25.5,53.7,1.2,26.7,14,293,305
-2.0,57.3,1.4,27.2,69,373,431
22.3,54.7,1.8,28.1,424,362,708
40.5,46.8,2.2,28.8,535,274,665
52.3,36.1,2.2,29.3,824,159,643
60.0,23.8,2.2,29.3,896,65,427
64.6,10.7,2.2,28.9,625,47,163
68.1,0.0,1.6,28.1,0,3,3
69.6,0.0,1.2,27.6,0,0,0
70.3,0.0,0.8,27.0,0,0,0
69.3,0.0,0.4,26.5,0,0,0
65.1,0.0,0.4,25.9,0,0,0
51.4,0.0,0.5,25.4,0,0,0
-6.1,0.0,0.4,24.8,0,0,0
-47.4,0.0,0.4,24.3,0,0,0
-64.0,0.0,1.0,23.7,0,0,0
-69.1,0.0,0.8,23.6,0,0,0
-70.4,0.0,0.3,23.2,0,0,0
-70.2,0.0,0.4,22.9,0,0,0
-68.4,0.0,0.4,22.9,0,0,0
-65.4,8.5,0.4,23.8,356,45,98
-61.1,21.7,0.8,24.7,523,104,297
-54.1,34.2,1.2,26.0,571,176,497
-43.2,45.3,1.4,27.3,607,228,659
-26.1,53.8,1.6,28.4,651,242,768
-2.1,57.5,2.2,29.2,652,262,812
22.3,54.8,1.8,29.8,671,239,788
40.5,47.0,2.6,30.2,636,227,693
52.4,36.2,2.9,30.2,667,150,544
60.1,23.9,2.9,29.8,560,110,337
65.0,10.8,2.9,28.9,349,58,123
68.1,0.0,2.2,28.0,0,1,1
70.1,0.0,1.4,27.4,0,0,0
70.4,0.0,1.1,26.7,0,0,0
69.4,0.0,1.0,26.0,0,0,0
65.3,0.0,0.8,25.4,0,0,0
52.1,0.0,1.0,24.7,0,0,0
-6.4,0.0,1.0,24.2,0,0,0
-47.5,0.0,1.0,23.6,0,0,0
-64.2,0.0,1.4,23.2,0,0,0
-69.3,0.0,1.2,22.8,0,0,0
-70.5,0.0,0.5,22.4,0,0,0
-70.3,0.0,0.5,22.2,0,0,0
-68.5,0.0,0.7,22.2,0,0,0
-65.5,8.4,0.7,22.7,50,59,66
-61.2,21.7,0.8,23.6,59,163,185
-54.2,34.2,1.1,24.4,131,275,349
-43.3,45.3,1.4,25.6,360,328,584
-26.2,53.9,1.4,26.4,232,395,583
-2.2,57.6,1.8,26.9,163,425,562
22.3,55.0,2.2,27.6,491,326,729
40.5,47.2,2.2,28.2,640,246,716
52.4,36.4,2.2,28.2,439,231,492
60.2,24.0,2.2,27.9,372,148,299
65.1,10.9,2.2,27.3,333,59,122
68.2,0.0,1.6,26.6,0,1,1
70.2,0.0,1.1,26.0,0,0,0
70.6,0.0,0.7,25.4,0,0,0
69.5,0.0,0.5,24.8,0,0,0
65.4,0.0,0.3,24.2,0,0,0
52.4,0.0,0.2,23.6,0,0,0
-7.1,0.0,0.2,23.3,0,0,0
-48.1,0.0,0.2,22.6,0,0,0
-64.4,0.0,0.7,22.0,0,0,0
-69.4,0.0,1.0,21.7,0,0,0
-71.0,0.0,0.3,21.3,0,0,0
-70.4,0.0,0.3,21.1,0,0,0
-69.0,0.0,0.4,21.0,0,0,0
-66.0,8.4,0.5,21.9,363,45,98
-61.3,21.6,0.7,23.5,595,90,309
-54.4,34.2,1.0,24.7,745,118,536
-43.5,45.4,1.4,26.2,831,133,724
-26.4,54.0,1.4,27.4,860,151,846
-2.4,57.8,1.6,28.4,858,165,890
22.2,55.2,1.8,29.0,847,161,857
40.6,47.4,1.8,29.3,843,135,755
52.5,36.5,1.6,29.4,764,123,578
60.2,24.2,1.6,28.9,623,100,355
65.2,11.1,1.6,28.0,404,55,133
68.3,0.0,1.4,27.0,0,1,1
70.3,0.0,1.1,26.4,0,0,0
71.1,0.0,0.7,25.8,0,0,0
70.1,0.0,0.5,25.1,0,0,0
66.1,0.0,0.5,24.5,0,0,0
53.1,0.0,0.4,23.9,0,0,0
-7.5,0.0,0.4,23.6,0,0,0
-48.2,0.0,0.3,23.0,0,0,0
-64.5,0.0,0.5,22.3,0,0,0
-69.5,0.0,0.5,22.0,0,0,0
-71.2,0.0,0.1,21.6,0,0,0
-70.5,0.0,0.1,21.4,0,0,0
-69.1,0.0,0.0,21.4,0,0,0
-66.2,8.4,0.1,22.3,394,43,100
-61.4,21.6,0.2,23.6,607,90,313
-54.5,34.2,0.5,25.1,702,128,523
-44.0,45.4,0.7,26.4,701,188,688
-26.6,54.1,0.8,27.6,713,227,804
-2.5,58.0,0.8,28.5,747,226,859
22.2,55.4,0.7,29.2,787,194,841
41.0,47.5,0.8,29.6,792,158,743
52.6,36.7,1.0,29.6,757,123,575
60.3,24.3,1.0,29.2,681,87,367
65.3,11.2,0.8,28.3,484,51,145
68.4,0.0,0.5,27.4,0,1,1
70.4,0.0,0.4,26.7,0,0,0
71.2,0.0,0.2,26.0,0,0,0
70.2,0.0,0.2,25.4,0,0,0
66.3,0.0,0.2,24.7,0,0,0
53.5,0.0,0.1,24.1,0,0,0
-8.2,0.0,0.1,23.8,0,0,0
-48.4,0.0,0.1,23.0,0,0,0
-65.1,0.0,0.4,22.2,0,0,0
-70.1,0.0,0.5,21.7,0,0,0
-71.3,0.0,0.2,21.3,0,0,0
-71.0,0.0,0.2,20.9,0,0,0
-69.2,0.0,0.2,20.9,0,0,0
-66.3,8.3,0.3,21.7,480,39,109
-61.6,21.6,0.4,23.2,763,59,340
-55.0,34.2,0.7,24.4,903,67,575
-44.2,45.5,0.8,25.6,948,87,764
-27.1,54.2,1.0,26.7,964,105,887
-2.6,58.1,1.0,27.6,955,118,930
22.2,55.6,1.1,28.1,948,115,897
41.1,47.7,1.4,28.4,941,96,792
53.1,36.9,1.6,28.4,905,75,618
60.4,24.5,1.6,27.9,794,62,391
65.4,11.3,1.6,27.0,552,46,154
68.5,0.0,1.4,26.0,0,1,1
70.5,0.0,1.1,25.4,0,0,0
71.3,0.0,0.8,24.7,0,0,0
70.4,0.0,0.7,24.0,0,0,0
66.5,0.0,0.7,23.6,0,0,0
54.2,0.0,0.5,22.7,0,0,0
-8.6,0.0,0.4,22.3,0,0,0
-49.0,0.0,0.4,21.9,0,0,0
-65.3,0.0,0.8,21.4,0,0,0
-70.2,0.0,0.7,21.2,0,0,0
-71.4,0.0,0.2,21.0,0,0,0
-71.2,0.0,0.2,20.8,0,0,0
-69.3,0.0,0.2,20.8,0,0,0
-66.4,8.3,0.3,21.8,463,40,106
-62.1,21.6,0.4,23.5,742,62,335
-55.2,34.2,1.0,24.9,862,78,563
-44.3,45.6,1.1,26.4,891,108,744
-27.3,54.3,1.4,27.7,907,129,866
-3.1,58.3,1.6,28.7,907,140,913
22.2,55.8,1.4,29.4,904,135,882
41.1,47.9,1.6,29.8,896,113,779
53.1,37.0,1.8,29.8,869,86,609
60.5,24.6,1.6,29.3,772,67,389
65.5,11.4,1.2,28.4,539,47,154
69.0,0.0,1.1,27.4,0,1,1
70.6,0.0,0.8,26.8,0,0,0
71.4,0.0,0.4,26.2,0,0,0
70.6,0.0,0.2,25.7,0,0,0
67.1,0.0,0.2,25.1,0,0,0
55.0,0.0,0.3,24.6,0,0,0
-9.4,0.0,0.2,24.1,0,0,0
-49.2,0.0,0.3,23.6,0,0,0
-65.5,0.0,0.7,23.2,0,0,0
-70.4,0.0,0.7,22.9,0,0,0
-71.6,0.0,0.2,22.5,0,0,0
-71.3,0.0,0.1,22.3,0,0,0
-69.5,0.0,0.1,22.3,0,0,0
-66.5,8.3,0.2,23.0,251,47,83
-62.2,21.6,0.4,24.0,309,138,252
-55.3,34.3,0.8,25.2,316,246,423
-44.5,45.6,1.0,26.3,346,326,573
-27.5,54.5,1.2,27.1,219,400,579
-3.2,58.5,1.4,27.8,292,418,667
22.2,56.0,1.6,28.5,459,340,721
41.2,48.1,2.2,29.0,574,270,698
53.2,37.2,2.2,29.3,885,127,662
60.6,24.8,1.8,29.2,904,52,431
65.6,11.6,1.6,28.5,652,44,175
69.1,0.0,1.1,27.6,0,4,4
71.1,0.0,0.8,27.1,0,0,0
71.6,0.0,0.5,26.5,0,0,0
71.1,0.0,0.4,26.0,0,0,0
67.3,0.0,0.4,25.5,0,0,0
55.4,0.0,0.4,24.9,0,0,0
-10.1,0.0,0.4,24.5,0,0,0
-49.5,0.0,0.3,24.1,0,0,0
-66.1,0.0,0.8,23.6,0,0,0
-70.6,0.0,0.5,23.6,0,0,0
-72.1,0.0,0.1,23.4,0,0,0
-71.4,0.0,0.2,23.2,0,0,0
-69.6,0.0,0.1,23.1,0,0,0
-67.0,8.2,0.2,23.7,370,43,96
-62.4,21.6,0.3,25.0,571,94,304
-55.5,34.3,0.5,26.5,723,125,532
-45.1,45.7,1.1,27.8,665,209,685
-28.0,54.6,1.4,28.9,575,289,757
-3.3,58.7,1.6,29.7,560,303,781
22.2,56.2,1.6,30.2,555,303,764
41.3,48.3,1.8,30.4,342,346,601
53.3,37.4,2.2,30.4,401,249,492
61.1,24.9,2.2,29.8,184,206,284
66.1,11.7,1.8,29.1,119,91,115
69.2,0.0,1.4,28.2,0,1,1
71.2,0.0,1.2,27.6,0,0,0
72.1,0.0,0.8,27.0,0,0,0
71.3,0.0,0.8,26.3,0,0,0
67.6,0.0,0.8,25.7,0,0,0
56.2,0.0,0.8,25.1,0,0,0
-10.5,0.0,0.8,24.6,0,0,0
-50.1,0.0,0.7,24.0,0,0,0
-66.3,0.0,1.1,23.7,0,0,0
-71.1,0.0,1.1,23.3,0,0,0
-72.2,0.0,0.5,22.9,0,0,0
-71.5,0.0,0.5,22.6,0,0,0
-70.1,0.0,0.5,22.6,0,0,0
-67.2,8.2,0.7,23.5,428,40,101
-62.5,21.6,1.0,24.7,703,70,328
-56.1,34.3,1.4,26.2,836,86,558
-45.3,45.8,1.8,27.7,895,107,748
-28.2,54.7,2.9,29.0,909,129,871
-3.4,58.9,3.3,30.1,929,131,927
22.2,56.4,3.3,30.8,932,124,900
41.4,48.5,3.3,31.2,937,99,801
53.4,37.6,3.3,31.2,912,75,630
